formula,class,source,status,reason,energy_eV,energy_per_atom_eV,a_initial,a_relaxed,n_atoms,volume_change_pct,confidence_update,elapsed_sec
NaCrO3,perovskite,materials_project,passed,,-311.0858,-62.21716,3.7481,3.694,5,4.26,high,3.6
NaNiO3,perovskite,materials_project,passed,,-362.8762,-72.57524,3.8212,3.7453,5,5.94,high,9.8
NaRuO3,perovskite,materials_project,passed,,-326.8123,-65.36246,3.8675,3.8453,5,1.71,high,2.7
NaPdO3,perovskite,materials_project,passed,,-327.5124,-65.50248,3.9911,3.8038,5,13.43,medium,4.2
NaMoO3,perovskite,materials_project,passed,,-643.8232,-64.38232,5.5408,5.4994,10,1.73,high,15.2
NaFeF3,perovskite,materials_project,passed,,-1718.5798,-85.92899,6.2775,6.1522,20,6.09,high,23.3
NaNbO3,perovskite,materials_project,passed,,-622.5235,-62.25235,5.5954,5.7643,10,9.73,high,24.4
NaZnF3,perovskite,materials_project,passed,,-1925.3445,-96.267225,6.2118,6.4971,20,14.17,medium,25.7
NaWO3,perovskite,materials_project,passed,,-319.3834,-63.87668,3.9696,3.9066,5,4.68,high,3.8
NaReO3,perovskite,materials_project,passed,,-325.6778,-65.13556,3.8876,3.9066,5,1.48,high,2.9
KScO3,perovskite,materials_project,passed,,-291.2158,-58.24316,4.2107,4.3064,5,6.97,high,5.3
NaMnF3,perovskite,materials_project,passed,,-1671.74,-83.587,6.3862,6.2226,20,7.52,high,33.7
NaFeO3,perovskite,materials_project,passed,,-679.963,-67.9963,5.3966,5.3125,10,4.29,high,35.4
KTiO3,perovskite,materials_project,passed,,-300.7004,-60.14008,4.3834,4.4326,5,4.02,high,4.7
NaTaO3,perovskite,materials_project,passed,,-624.0529,-62.40529,4.9711,5.0844,10,6.67,high,19.0
KCrO3,perovskite,materials_project,passed,,-308.9337,-61.78674,3.8647,3.8647,5,0.0,high,1.0
KVO3,perovskite,materials_project,passed,,-310.6766,-62.13532,3.8531,3.9498,5,7.72,high,5.0
KVF3,perovskite,materials_project,passed,,-398.463,-79.6926,4.1294,4.0867,5,3.07,high,3.4
NaNiF3,perovskite,materials_project,passed,,-910.2615,-91.02615,5.1613,5.4248,10,19.75,medium,47.6
KMnO3,perovskite,materials_project,passed,,-327.0025,-65.4005,3.9562,4.1444,5,14.96,medium,10.8
NaCuF3,perovskite,materials_project,passed,,-1706.9774,-85.34887,6.7054,7.0923,20,15.41,medium,49.8
NaOsO3,perovskite,materials_project,passed,,-668.9775,-66.89775,5.3696,5.4842,10,6.09,high,25.3
KNiF3,perovskite,materials_project,passed,,-454.1655,-90.8331,4.0081,4.0721,5,4.87,high,3.1
KFeF3,perovskite,materials_project,passed,,-428.557,-85.7114,4.1653,3.9902,5,12.09,medium,5.2
KZnO3,perovskite,materials_project,passed,,-386.986,-77.3972,4.0885,3.9795,5,7.79,high,4.4
KYO3,perovskite,materials_project,passed,,-291.1251,-58.22502,4.4975,4.5477,5,3.38,high,2.8
KZnF3,perovskite,materials_project,passed,,-480.9354,-96.18708,4.0474,4.1668,5,9.11,high,3.5
KMoO3,perovskite,materials_project,passed,,-320.4882,-64.09764,4.0048,3.9969,5,0.59,high,2.3
KZrO3,perovskite,materials_project,passed,,-301.7027,-60.34054,4.2383,4.2629,5,1.75,high,3.0
KRuO3,perovskite,materials_project,passed,,-325.3808,-65.07616,3.9393,3.9729,5,2.58,high,2.9
KRhO3,perovskite,materials_project,passed,,-335.0446,-67.00892,3.9916,3.9549,5,2.73,high,2.6
KNbO3,perovskite,materials_project,passed,,-310.8655,-62.1731,4.0495,4.1093,5,4.5,high,8.0
KPdF3,perovskite,materials_project,passed,,-410.8812,-82.17624,4.3093,4.3437,5,2.42,high,2.7
KPdO3,perovskite,materials_project,passed,,-325.9499,-65.18998,4.0701,3.9561,5,8.17,high,3.5
KWO3,perovskite,materials_project,passed,,-317.9585,-63.5917,4.0171,4.0068,5,0.77,high,2.2
