formula,class,sg,a,n_atoms_cell,t_factor,mu_factor,vec,delta_percent,predicted_phase,confidence,elements,ang_mom
LiScO3,perovskite,Pm-3m,4.29,5,0.8109,0.5321,,,,medium,Li;O;Sc,"{""Li"": ""s"", ""O"": ""p"", ""Sc"": ""d""}"
LiScF3,perovskite,Pm-3m,4.15,5,0.8145,0.5602,,,,medium,F;Li;Sc,"{""F"": ""p"", ""Li"": ""s"", ""Sc"": ""d""}"
LiScN3,perovskite,Pm-3m,4.41,5,0.8081,0.5103,,,,medium,Li;N;Sc,"{""Li"": ""s"", ""N"": ""p"", ""Sc"": ""d""}"
LiScCl3,perovskite,Pm-3m,5.11,5,0.7943,0.4116,,,,low,Cl;Li;Sc,"{""Cl"": ""p"", ""Li"": ""s"", ""Sc"": ""d""}"
LiTiO3,perovskite,Pm-3m,4.01,5,0.8676,0.4321,,,,medium,Li;O;Ti,"{""Li"": ""s"", ""O"": ""p"", ""Ti"": ""d""}"
LiTiF3,perovskite,Pm-3m,3.87,5,0.8734,0.4549,,,,medium,F;Li;Ti,"{""F"": ""p"", ""Li"": ""s"", ""Ti"": ""d""}"
LiTiN3,perovskite,Pm-3m,4.13,5,0.8629,0.4144,,,,medium,Li;N;Ti,"{""Li"": ""s"", ""N"": ""p"", ""Ti"": ""d""}"
LiVO3,perovskite,Pm-3m,4.08,5,0.8527,0.4571,,,,medium,Li;O;V,"{""Li"": ""s"", ""O"": ""p"", ""V"": ""d""}"
LiVF3,perovskite,Pm-3m,3.94,5,0.8579,0.4812,,,,medium,F;Li;V,"{""F"": ""p"", ""Li"": ""s"", ""V"": ""d""}"
LiVN3,perovskite,Pm-3m,4.2,5,0.8485,0.4384,,,,medium,Li;N;V,"{""Li"": ""s"", ""N"": ""p"", ""V"": ""d""}"
LiCrO3,perovskite,Pm-3m,4.03,5,0.8633,0.4393,,,,medium,Cr;Li;O,"{""Cr"": ""d"", ""Li"": ""s"", ""O"": ""p""}"
LiCrF3,perovskite,Pm-3m,3.89,5,0.8689,0.4624,,,,medium,Cr;F;Li,"{""Cr"": ""d"", ""F"": ""p"", ""Li"": ""s""}"
LiCrN3,perovskite,Pm-3m,4.15,5,0.8588,0.4212,,,,medium,Cr;Li;N,"{""Cr"": ""d"", ""Li"": ""s"", ""N"": ""p""}"
LiMnO3,perovskite,Pm-3m,4.09,5,0.8506,0.4607,,,,medium,Li;Mn;O,"{""Li"": ""s"", ""Mn"": ""d"", ""O"": ""p""}"
LiMnF3,perovskite,Pm-3m,3.95,5,0.8557,0.485,,,,medium,F;Li;Mn,"{""F"": ""p"", ""Li"": ""s"", ""Mn"": ""d""}"
LiMnN3,perovskite,Pm-3m,4.21,5,0.8465,0.4418,,,,medium,Li;Mn;N,"{""Li"": ""s"", ""Mn"": ""d"", ""N"": ""p""}"
LiFeO3,perovskite,Pm-3m,4.09,5,0.8506,0.4607,,,,medium,Fe;Li;O,"{""Fe"": ""d"", ""Li"": ""s"", ""O"": ""p""}"
LiFeF3,perovskite,Pm-3m,3.95,5,0.8557,0.485,,,,medium,F;Fe;Li,"{""F"": ""p"", ""Fe"": ""d"", ""Li"": ""s""}"
LiFeN3,perovskite,Pm-3m,4.21,5,0.8465,0.4418,,,,medium,Fe;Li;N,"{""Fe"": ""d"", ""Li"": ""s"", ""N"": ""p""}"
LiNiO3,perovskite,Pm-3m,4.18,5,0.8323,0.4929,,,,medium,Li;Ni;O,"{""Li"": ""s"", ""Ni"": ""d"", ""O"": ""p""}"
LiNiF3,perovskite,Pm-3m,4.04,5,0.8366,0.5188,,,,medium,F;Li;Ni,"{""F"": ""p"", ""Li"": ""s"", ""Ni"": ""d""}"
LiNiN3,perovskite,Pm-3m,4.3,5,0.8288,0.4726,,,,medium,Li;N;Ni,"{""Li"": ""s"", ""N"": ""p"", ""Ni"": ""d""}"
LiCuO3,perovskite,Pm-3m,4.26,5,0.8167,0.5214,,,,medium,Cu;Li;O,"{""Cu"": ""d"", ""Li"": ""s"", ""O"": ""p""}"
LiCuF3,perovskite,Pm-3m,4.12,5,0.8204,0.5489,,,,medium,Cu;F;Li,"{""Cu"": ""d"", ""F"": ""p"", ""Li"": ""s""}"
LiCuN3,perovskite,Pm-3m,4.38,5,0.8137,0.5,,,,medium,Cu;Li;N,"{""Cu"": ""d"", ""Li"": ""s"", ""N"": ""p""}"
LiZnO3,perovskite,Pm-3m,4.28,5,0.8128,0.5286,,,,medium,Li;O;Zn,"{""Li"": ""s"", ""O"": ""p"", ""Zn"": ""d""}"
LiZnF3,perovskite,Pm-3m,4.14,5,0.8164,0.5564,,,,medium,F;Li;Zn,"{""F"": ""p"", ""Li"": ""s"", ""Zn"": ""d""}"
LiZnN3,perovskite,Pm-3m,4.4,5,0.81,0.5068,,,,medium,Li;N;Zn,"{""Li"": ""s"", ""N"": ""p"", ""Zn"": ""d""}"
LiYO3,perovskite,Pm-3m,4.6,5,0.7563,0.6429,,,,low,Li;O;Y,"{""Li"": ""s"", ""O"": ""p"", ""Y"": ""d""}"
LiYF3,perovskite,Pm-3m,4.46,5,0.7578,0.6767,,,,low,F;Li;Y,"{""F"": ""p"", ""Li"": ""s"", ""Y"": ""d""}"
LiYN3,perovskite,Pm-3m,4.72,5,0.755,0.6164,,,,low,Li;N;Y,"{""Li"": ""s"", ""N"": ""p"", ""Y"": ""d""}"
LiYS3,perovskite,Pm-3m,5.48,5,0.7484,0.4891,,,,low,Li;S;Y,"{""Li"": ""s"", ""S"": ""p"", ""Y"": ""d""}"
LiYCl3,perovskite,Pm-3m,5.42,5,0.7489,0.4972,,,,low,Cl;Li;Y,"{""Cl"": ""p"", ""Li"": ""s"", ""Y"": ""d""}"
LiZrO3,perovskite,Pm-3m,4.24,5,0.8205,0.5143,,,,medium,Li;O;Zr,"{""Li"": ""s"", ""O"": ""p"", ""Zr"": ""d""}"
LiZrF3,perovskite,Pm-3m,4.1,5,0.8244,0.5414,,,,medium,F;Li;Zr,"{""F"": ""p"", ""Li"": ""s"", ""Zr"": ""d""}"
LiZrN3,perovskite,Pm-3m,4.36,5,0.8174,0.4932,,,,medium,Li;N;Zr,"{""Li"": ""s"", ""N"": ""p"", ""Zr"": ""d""}"
LiNbO3,perovskite,Pm-3m,4.08,5,0.8527,0.4571,,,,medium,Li;Nb;O,"{""Li"": ""s"", ""Nb"": ""d"", ""O"": ""p""}"
LiNbF3,perovskite,Pm-3m,3.94,5,0.8579,0.4812,,,,medium,F;Li;Nb,"{""F"": ""p"", ""Li"": ""s"", ""Nb"": ""d""}"
LiNbN3,perovskite,Pm-3m,4.2,5,0.8485,0.4384,,,,medium,Li;N;Nb,"{""Li"": ""s"", ""N"": ""p"", ""Nb"": ""d""}"
LiMoO3,perovskite,Pm-3m,4.1,5,0.8485,0.4643,,,,medium,Li;Mo;O,"{""Li"": ""s"", ""Mo"": ""d"", ""O"": ""p""}"
LiMoF3,perovskite,Pm-3m,3.96,5,0.8535,0.4887,,,,medium,F;Li;Mo,"{""F"": ""p"", ""Li"": ""s"", ""Mo"": ""d""}"
LiMoN3,perovskite,Pm-3m,4.22,5,0.8445,0.4452,,,,medium,Li;Mo;N,"{""Li"": ""s"", ""Mo"": ""d"", ""N"": ""p""}"
LiRuO3,perovskite,Pm-3m,4.04,5,0.8611,0.4429,,,,medium,Li;O;Ru,"{""Li"": ""s"", ""O"": ""p"", ""Ru"": ""d""}"
LiRuF3,perovskite,Pm-3m,3.9,5,0.8667,0.4662,,,,medium,F;Li;Ru,"{""F"": ""p"", ""Li"": ""s"", ""Ru"": ""d""}"
LiRuN3,perovskite,Pm-3m,4.16,5,0.8567,0.4247,,,,medium,Li;N;Ru,"{""Li"": ""s"", ""N"": ""p"", ""Ru"": ""d""}"
LiRhO3,perovskite,Pm-3m,4.13,5,0.8424,0.475,,,,medium,Li;O;Rh,"{""Li"": ""s"", ""O"": ""p"", ""Rh"": ""d""}"
LiRhF3,perovskite,Pm-3m,3.99,5,0.8471,0.5,,,,medium,F;Li;Rh,"{""F"": ""p"", ""Li"": ""s"", ""Rh"": ""d""}"
LiRhN3,perovskite,Pm-3m,4.25,5,0.8385,0.4555,,,,medium,Li;N;Rh,"{""Li"": ""s"", ""N"": ""p"", ""Rh"": ""d""}"
LiPdO3,perovskite,Pm-3m,4.52,5,0.7697,0.6143,,,,low,Li;O;Pd,"{""Li"": ""s"", ""O"": ""p"", ""Pd"": ""d""}"
LiPdF3,perovskite,Pm-3m,4.38,5,0.7717,0.6466,,,,low,F;Li;Pd,"{""F"": ""p"", ""Li"": ""s"", ""Pd"": ""d""}"
LiPdN3,perovskite,Pm-3m,4.64,5,0.7681,0.589,,,,low,Li;N;Pd,"{""Li"": ""s"", ""N"": ""p"", ""Pd"": ""d""}"
LiPdS3,perovskite,Pm-3m,5.4,5,0.7595,0.4674,,,,low,Li;Pd;S,"{""Li"": ""s"", ""Pd"": ""d"", ""S"": ""p""}"
LiPdCl3,perovskite,Pm-3m,5.34,5,0.7601,0.4751,,,,low,Cl;Li;Pd,"{""Cl"": ""p"", ""Li"": ""s"", ""Pd"": ""d""}"
LiHfO3,perovskite,Pm-3m,4.22,5,0.8244,0.5071,,,,medium,Hf;Li;O,"{""Hf"": ""d"", ""Li"": ""s"", ""O"": ""p""}"
LiHfF3,perovskite,Pm-3m,4.08,5,0.8284,0.5338,,,,medium,F;Hf;Li,"{""F"": ""p"", ""Hf"": ""d"", ""Li"": ""s""}"
LiHfN3,perovskite,Pm-3m,4.34,5,0.8212,0.4863,,,,medium,Hf;Li;N,"{""Hf"": ""d"", ""Li"": ""s"", ""N"": ""p""}"
LiTaO3,perovskite,Pm-3m,4.08,5,0.8527,0.4571,,,,medium,Li;O;Ta,"{""Li"": ""s"", ""O"": ""p"", ""Ta"": ""d""}"
LiTaF3,perovskite,Pm-3m,3.94,5,0.8579,0.4812,,,,medium,F;Li;Ta,"{""F"": ""p"", ""Li"": ""s"", ""Ta"": ""d""}"
LiTaN3,perovskite,Pm-3m,4.2,5,0.8485,0.4384,,,,medium,Li;N;Ta,"{""Li"": ""s"", ""N"": ""p"", ""Ta"": ""d""}"
LiWO3,perovskite,Pm-3m,4.04,5,0.8611,0.4429,,,,medium,Li;O;W,"{""Li"": ""s"", ""O"": ""p"", ""W"": ""d""}"
LiWF3,perovskite,Pm-3m,3.9,5,0.8667,0.4662,,,,medium,F;Li;W,"{""F"": ""p"", ""Li"": ""s"", ""W"": ""d""}"
LiWN3,perovskite,Pm-3m,4.16,5,0.8567,0.4247,,,,medium,Li;N;W,"{""Li"": ""s"", ""N"": ""p"", ""W"": ""d""}"
LiReO3,perovskite,Pm-3m,4.06,5,0.8569,0.45,,,,medium,Li;O;Re,"{""Li"": ""s"", ""O"": ""p"", ""Re"": ""d""}"
LiReF3,perovskite,Pm-3m,3.92,5,0.8622,0.4737,,,,medium,F;Li;Re,"{""F"": ""p"", ""Li"": ""s"", ""Re"": ""d""}"
LiReN3,perovskite,Pm-3m,4.18,5,0.8526,0.4315,,,,medium,Li;N;Re,"{""Li"": ""s"", ""N"": ""p"", ""Re"": ""d""}"
LiOsO3,perovskite,Pm-3m,4.06,5,0.8569,0.45,,,,medium,Li;O;Os,"{""Li"": ""s"", ""O"": ""p"", ""Os"": ""d""}"
LiOsF3,perovskite,Pm-3m,3.92,5,0.8622,0.4737,,,,medium,F;Li;Os,"{""F"": ""p"", ""Li"": ""s"", ""Os"": ""d""}"
LiOsN3,perovskite,Pm-3m,4.18,5,0.8526,0.4315,,,,medium,Li;N;Os,"{""Li"": ""s"", ""N"": ""p"", ""Os"": ""d""}"
LiIrO3,perovskite,Pm-3m,4.05,5,0.859,0.4464,,,,medium,Ir;Li;O,"{""Ir"": ""d"", ""Li"": ""s"", ""O"": ""p""}"
LiIrF3,perovskite,Pm-3m,3.91,5,0.8644,0.4699,,,,medium,F;Ir;Li,"{""F"": ""p"", ""Ir"": ""d"", ""Li"": ""s""}"
LiIrN3,perovskite,Pm-3m,4.17,5,0.8546,0.4281,,,,medium,Ir;Li;N,"{""Ir"": ""d"", ""Li"": ""s"", ""N"": ""p""}"
LiPtO3,perovskite,Pm-3m,4.05,5,0.859,0.4464,,,,medium,Li;O;Pt,"{""Li"": ""s"", ""O"": ""p"", ""Pt"": ""d""}"
LiPtF3,perovskite,Pm-3m,3.91,5,0.8644,0.4699,,,,medium,F;Li;Pt,"{""F"": ""p"", ""Li"": ""s"", ""Pt"": ""d""}"
LiPtN3,perovskite,Pm-3m,4.17,5,0.8546,0.4281,,,,medium,Li;N;Pt,"{""Li"": ""s"", ""N"": ""p"", ""Pt"": ""d""}"
NaScO3,perovskite,Pm-3m,4.29,5,0.9197,0.5321,,,,high,Na;O;Sc,"{""Na"": ""s"", ""O"": ""p"", ""Sc"": ""d""}"
NaScF3,perovskite,Pm-3m,4.15,5,0.9269,0.5602,,,,high,F;Na;Sc,"{""F"": ""p"", ""Na"": ""s"", ""Sc"": ""d""}"
NaScN3,perovskite,Pm-3m,4.41,5,0.9139,0.5103,,,,high,N;Na;Sc,"{""N"": ""p"", ""Na"": ""s"", ""Sc"": ""d""}"
NaScCl3,perovskite,Pm-3m,5.11,5,0.8856,0.4116,,,,medium,Cl;Na;Sc,"{""Cl"": ""p"", ""Na"": ""s"", ""Sc"": ""d""}"
NaTiO3,perovskite,Pm-3m,4.01,5,0.984,0.4321,,,,medium,Na;O;Ti,"{""Na"": ""s"", ""O"": ""p"", ""Ti"": ""d""}"
NaTiF3,perovskite,Pm-3m,3.87,5,0.994,0.4549,,,,high,F;Na;Ti,"{""F"": ""p"", ""Na"": ""s"", ""Ti"": ""d""}"
NaTiN3,perovskite,Pm-3m,4.13,5,0.9759,0.4144,,,,medium,N;Na;Ti,"{""N"": ""p"", ""Na"": ""s"", ""Ti"": ""d""}"
NaVO3,perovskite,Pm-3m,4.08,5,0.9671,0.4571,,,,high,Na;O;V,"{""Na"": ""s"", ""O"": ""p"", ""V"": ""d""}"
NaVF3,perovskite,Pm-3m,3.94,5,0.9763,0.4812,,,,high,F;Na;V,"{""F"": ""p"", ""Na"": ""s"", ""V"": ""d""}"
NaVN3,perovskite,Pm-3m,4.2,5,0.9596,0.4384,,,,medium,N;Na;V,"{""N"": ""p"", ""Na"": ""s"", ""V"": ""d""}"
NaCrO3,perovskite,Pm-3m,4.03,5,0.9791,0.4393,,,,medium,Cr;Na;O,"{""Cr"": ""d"", ""Na"": ""s"", ""O"": ""p""}"
NaCrF3,perovskite,Pm-3m,3.89,5,0.9889,0.4624,,,,high,Cr;F;Na,"{""Cr"": ""d"", ""F"": ""p"", ""Na"": ""s""}"
NaCrN3,perovskite,Pm-3m,4.15,5,0.9712,0.4212,,,,medium,Cr;N;Na,"{""Cr"": ""d"", ""N"": ""p"", ""Na"": ""s""}"
NaMnO3,perovskite,Pm-3m,4.09,5,0.9647,0.4607,,,,high,Mn;Na;O,"{""Mn"": ""d"", ""Na"": ""s"", ""O"": ""p""}"
