formula,class,source,mp_id,e_above_hull,formation_e,is_stable,confidence,n_atoms_cell,sg,elements,ang_mom,predicted_phase,cif_filename
LiVO3,perovskite,materials_project,mp-723831,0.000762292500001,-2.427194401166674,False,high,20,Cc,Li;O;V,"{""Li"": ""s"", ""O"": ""p"", ""V"": ""d""}",,
LiVF3,perovskite,materials_project,mp-752764,0.018508798999995,-3.046416666666668,False,high,10,R3c,F;Li;V,"{""F"": ""p"", ""Li"": ""s"", ""V"": ""d""}",,
LiCrO3,perovskite,materials_project,mp-1185311,0.40936655516666304,-1.666735623666667,False,high,5,Pm-3m,Cr;Li;O,"{""Cr"": ""d"", ""Li"": ""s"", ""O"": ""p""}",,
LiMnO3,perovskite,materials_project,mp-1120793,0.18392001396665902,-1.6915997667528742,False,high,20,Pnma,Li;Mn;O,"{""Li"": ""s"", ""Mn"": ""d"", ""O"": ""p""}",,
LiMnF3,perovskite,materials_project,mp-759492,0.039793635249997,-3.006289792502873,False,high,40,P2_1/c,F;Li;Mn,"{""F"": ""p"", ""Li"": ""s"", ""Mn"": ""d""}",,
LiFeO3,perovskite,materials_project,mp-752521,0.147307044100001,-1.417485105666666,False,high,20,C2/c,Fe;Li;O,"{""Fe"": ""d"", ""Li"": ""s"", ""O"": ""p""}",,
LiFeF3,perovskite,materials_project,mp-780639,0.031662007999996,-2.788585956666666,False,high,10,P2_1/m,F;Fe;Li,"{""F"": ""p"", ""Fe"": ""d"", ""Li"": ""s""}",,
LiNiO3,perovskite,materials_project,mp-1185261,0.5024219344545481,-0.7054583776666661,False,high,5,Pm-3m,Li;Ni;O,"{""Li"": ""s"", ""Ni"": ""d"", ""O"": ""p""}",,
LiNiF3,perovskite,materials_project,mp-758501,0.018963556499999,-2.5963451133333333,False,high,10,R-3,F;Li;Ni,"{""F"": ""p"", ""Li"": ""s"", ""Ni"": ""d""}",,
LiCuF3,perovskite,materials_project,mp-2764589,0.017233510499996,-2.347362580833333,False,high,20,P-1,Cu;F;Li,"{""Cu"": ""d"", ""F"": ""p"", ""Li"": ""s""}",,
LiYO3,perovskite,materials_project,mp-976283,0.415705300089284,-2.229059917666667,False,high,5,Pm-3m,Li;O;Y,"{""Li"": ""s"", ""O"": ""p"", ""Y"": ""d""}",,
LiNbO3,perovskite,materials_project,mp-675069,0.006859243142860001,-2.8926584085238103,False,high,70,P1,Li;Nb;O,"{""Li"": ""s"", ""Nb"": ""d"", ""O"": ""p""}",,
LiRuO3,perovskite,materials_project,mp-1185420,0.211082630791667,-1.457952953666666,False,high,5,Pm-3m,Li;O;Ru,"{""Li"": ""s"", ""O"": ""p"", ""Ru"": ""d""}",,
LiTaO3,perovskite,materials_project,mp-754345,0.088644969000005,-3.036713801133333,False,high,10,P4/mbm,Li;O;Ta,"{""Li"": ""s"", ""O"": ""p"", ""Ta"": ""d""}",,
LiReO3,perovskite,materials_project,mp-8189,0.075053480999998,-2.104858231166666,False,high,10,R3c,Li;O;Re,"{""Li"": ""s"", ""O"": ""p"", ""Re"": ""d""}",,
LiOsO3,perovskite,materials_project,mp-1078188,0.008333421,-1.736222352666666,False,high,10,R-3c,Li;O;Os,"{""Li"": ""s"", ""O"": ""p"", ""Os"": ""d""}",,
NaTiO3,perovskite,materials_project,mp-977123,0.08988452819999401,-2.639808749942529,False,high,5,Pm-3m,Na;O;Ti,"{""Na"": ""s"", ""O"": ""p"", ""Ti"": ""d""}",,
NaTiF3,perovskite,materials_project,mp-1120777,0.23502901877777302,-2.919718483942529,False,high,5,Pm-3m,F;Na;Ti,"{""F"": ""p"", ""Na"": ""s"", ""Ti"": ""d""}",,
NaVO3,perovskite,materials_project,mp-555665,0.005755477500000001,-2.369992200775863,False,high,20,Pnma,Na;O;V,"{""Na"": ""s"", ""O"": ""p"", ""V"": ""d""}",,
NaVF3,perovskite,materials_project,mp-20572,0.09134990799999901,-2.92664838,False,high,5,Pm-3m,F;Na;V,"{""F"": ""p"", ""Na"": ""s"", ""V"": ""d""}",,
NaCrO3,perovskite,materials_project,mp-1076642,0.29644677833333505,-1.708139925275861,False,high,5,Pm-3m,Cr;Na;O,"{""Cr"": ""d"", ""Na"": ""s"", ""O"": ""p""}",,
NaMnF3,perovskite,materials_project,mp-560242,0.0,-2.964065348862068,True,high,20,Pnma,F;Mn;Na,"{""F"": ""p"", ""Mn"": ""d"", ""Na"": ""s""}",,
NaFeO3,perovskite,materials_project,mp-754915,0.055216262999998,-1.383083283275861,False,high,10,R-3,Fe;Na;O,"{""Fe"": ""d"", ""Na"": ""s"", ""O"": ""p""}",,
NaFeF3,perovskite,materials_project,mp-505066,0.00041483750000000005,-2.737226594775862,False,high,20,Pnma,F;Fe;Na,"{""F"": ""p"", ""Fe"": ""d"", ""Na"": ""s""}",,
NaNiO3,perovskite,materials_project,mp-1186154,0.320827803500001,-0.745677687275861,False,high,5,Pm-3m,Na;Ni;O,"{""Na"": ""s"", ""Ni"": ""d"", ""O"": ""p""}",,
NaNiF3,perovskite,materials_project,mp-1078237,0.005519014499999001,-2.552293871,False,high,10,Cmcm,F;Na;Ni,"{""F"": ""p"", ""Na"": ""s"", ""Ni"": ""d""}",,
NaCuF3,perovskite,materials_project,mp-505085,0.004311252000000001,-2.3087606975,False,high,20,P2_1/c,Cu;F;Na,"{""Cu"": ""d"", ""F"": ""p"", ""Na"": ""s""}",,
NaZnO3,perovskite,materials_project,mp-1180211,0.34598868675000105,-0.9150081555258611,False,high,40,P4_2/mbc,Na;O;Zn,"{""Na"": ""s"", ""O"": ""p"", ""Zn"": ""d""}",,
NaZnF3,perovskite,materials_project,mp-3795,0.0,-2.755012105000001,True,high,20,Pnma,F;Na;Zn,"{""F"": ""p"", ""Na"": ""s"", ""Zn"": ""d""}",,
NaNbO3,perovskite,materials_project,mp-1078295,0.003141929999998,-2.841680835275861,False,high,10,R-3,Na;Nb;O,"{""Na"": ""s"", ""Nb"": ""d"", ""O"": ""p""}",,
NaMoO3,perovskite,materials_project,mp-998627,0.088243832000002,-2.023017042275861,False,high,10,R3c,Mo;Na;O,"{""Mo"": ""d"", ""Na"": ""s"", ""O"": ""p""}",,
NaRuO3,perovskite,materials_project,mp-977107,0.089076717374999,-1.518621671275862,False,high,5,Pm-3m,Na;O;Ru,"{""Na"": ""s"", ""O"": ""p"", ""Ru"": ""d""}",,
NaPdO3,perovskite,materials_project,mp-976968,0.26455347162500004,-0.768164637275862,False,high,5,Pm-3m,Na;O;Pd,"{""Na"": ""s"", ""O"": ""p"", ""Pd"": ""d""}",,
NaPdF3,perovskite,materials_project,mp-1220961,0.002678903750004,-2.043136394,False,high,20,P-1,F;Na;Pd,"{""F"": ""p"", ""Na"": ""s"", ""Pd"": ""d""}",,
NaTaO3,perovskite,materials_project,mp-4675,0.0093388935,-3.053653402742529,False,high,10,P4/mbm,Na;O;Ta,"{""Na"": ""s"", ""O"": ""p"", ""Ta"": ""d""}",,
NaWO3,perovskite,materials_project,mp-19328,0.05530045630435201,-2.106962365275861,False,high,5,Pm-3m,Na;O;W,"{""Na"": ""s"", ""O"": ""p"", ""W"": ""d""}",,
NaReO3,perovskite,materials_project,mp-976923,0.041938695600001005,-2.072553317775862,False,high,5,Pm-3m,Na;O;Re,"{""Na"": ""s"", ""O"": ""p"", ""Re"": ""d""}",,
NaOsO3,perovskite,materials_project,mp-998624,0.009487059,-1.6410638067758612,False,high,10,R-3c,Na;O;Os,"{""Na"": ""s"", ""O"": ""p"", ""Os"": ""d""}",,
NaIrO3,perovskite,materials_project,mp-1079568,0.0,-1.4718721862758621,True,high,10,Cmcm,Ir;Na;O,"{""Ir"": ""d"", ""Na"": ""s"", ""O"": ""p""}",,
KScO3,perovskite,materials_project,mp-973960,0.210220316249999,-2.33650292545,False,high,5,Pm-3m,K;O;Sc,"{""K"": ""s"", ""O"": ""p"", ""Sc"": ""d""}",,
