formula,class,R,status,reason,n_atoms,energy_eV,energy_per_atom_eV,elapsed_sec
Co2HfGa,heusler,5,passed,,27,-1054.3332,-39.049378,37.0
Co2HfGa,heusler,6,passed,,59,-3159.5816,-53.552231,40.3
Co2HfGe,heusler,5,passed,,27,-1227.58,-45.465926,51.4
Co2HfAl,heusler,5,passed,,27,-1048.4857,-38.832804,56.6
Co2HfSb,heusler,6,passed,,6,-279.2666,-46.544433,17.5
Co2HfGe,heusler,6,passed,,59,-3305.1083,-56.018785,96.6
Co2HfSi,heusler,5,passed,,30,-1438.1094,-47.93698,42.3
Co2HfIn,heusler,6,passed,,59,-2843.9325,-48.202246,77.2
Co2HfSn,heusler,5,passed,,27,-1105.7511,-40.953744,30.7
Co2FeSn,heusler,5,passed,,42,-2799.2659,-66.649188,138.7
Co2HfSn,heusler,6,passed,,59,-3281.809,-55.623881,68.2
Co2HfIn,heusler,5,passed,,27,-1653.8044,-61.252015,226.9
Co2HfBi,heusler,5,passed,,27,-1361.1955,-50.414648,305.3
Co2MnGa,heusler,5,passed,,46,-2688.1712,-58.438504,125.0
Co2MnGe,heusler,5,passed,,59,-3653.0202,-61.915597,64.8
Co2HfAl,heusler,6,passed,,59,-3150.1942,-53.393122,505.8
Co2HfSi,heusler,6,passed,,59,-3286.1,-55.69661,492.1
Co2MnIn,heusler,5,passed,,31,-1495.3492,-48.237071,60.8
Co2MnBi,heusler,5,passed,,45,-2864.2261,-63.649469,443.5
Co2HfBi,heusler,6,passed,,59,-3442.4073,-58.345886,582.3
Co2MnBi,heusler,6,passed,,82,-5369.621,-65.483183,469.1
Co2MnIn,heusler,6,passed,,59,-3478.3679,-58.955388,248.9
Co2MnSi,heusler,5,passed,,43,-2502.5804,-58.199544,253.4
Co2MnAl,heusler,5,passed,,55,-3357.2445,-61.040809,736.8
Co2MnSn,heusler,6,passed,,59,-3606.0967,-61.120283,140.5
Co2MnSn,heusler,5,passed,,45,-2868.346,-63.741022,185.7
Co2MnAl,heusler,6,failed,timeout,85,,,900.0
Co2MoAl,heusler,5,passed,,48,-2941.1358,-61.273663,196.1
Co2MoGa,heusler,5,passed,,27,-1288.1573,-47.70953,10.3
Co2MoBi,heusler,5,passed,,45,-2778.2904,-61.739787,91.8
Co2FeSn,heusler,6,passed,,65,-4154.4383,-63.914435,1088.1
Co2MoGa,heusler,6,passed,,59,-3378.9938,-57.271081,37.1
Co2MoIn,heusler,5,passed,,27,-1149.5779,-42.576959,9.8
Co2MoGe,heusler,5,passed,,51,-3241.9041,-63.566747,54.5
Co2MoGe,heusler,6,passed,,65,-3796.1679,-58.402583,88.6
Co2MoAl,heusler,6,passed,,65,-3633.1895,-55.895223,296.5
Co2MnGe,heusler,6,passed,,65,-3961.7649,-60.950229,855.3
Co2MnGa,heusler,6,passed,,62,-3590.0433,-57.903924,1050.7
Co2MoSb,heusler,6,passed,,62,-3789.0322,-61.113423,183.5
Co2MoSi,heusler,5,passed,,51,-3230.2407,-63.338053,98.7
Co2MnSb,heusler,6,passed,,65,-4077.5376,-62.731348,830.2
Co2MoSn,heusler,6,passed,,59,-3500.3826,-59.328519,56.2
Co2MoSn,heusler,5,passed,,30,-1590.391,-53.013033,65.3
Co2MnSi,heusler,6,passed,,90,-5664.9959,-62.944399,831.5
Co2NbAl,heusler,5,passed,,39,-2092.3423,-53.649803,121.8
Co2NbBi,heusler,5,passed,,42,-2585.0193,-61.548079,82.3
Co2MoSb,heusler,5,passed,,39,-2370.5934,-60.784446,386.6
Co2NbGa,heusler,6,passed,,59,-3244.8449,-54.997371,40.6
Co2NbIn,heusler,6,passed,,6,-246.9193,-41.153217,31.1
Co2NbGe,heusler,6,passed,,59,-3410.2901,-57.801527,47.6
Co2NbGe,heusler,5,passed,,36,-1933.8238,-53.717328,91.8
Co2NbAl,heusler,6,passed,,62,-3323.052,-53.597613,204.5
Co2NbSb,heusler,5,passed,,30,-1620.2506,-54.008353,53.9
Co2NbSb,heusler,6,passed,,59,-3510.7444,-59.504142,44.9
Co2NbSi,heusler,5,passed,,33,-1679.9066,-50.906261,37.0
Co2MnSb,heusler,5,passed,,51,-3408.4039,-66.831449,1064.7
Co2NbSi,heusler,6,passed,,59,-3380.3596,-57.294231,76.6
Co2NbGa,heusler,5,passed,,30,-1392.1346,-46.404487,232.5
Co2NbSn,heusler,5,passed,,38,-2134.5983,-56.173639,126.9
Co2NbSn,heusler,6,passed,,64,-3329.4779,-52.023092,139.1
Co2NiAl,heusler,5,passed,,54,-3528.8116,-65.348363,138.0
Co2NiBi,heusler,5,passed,,48,-3492.1155,-72.752406,84.9
Co2NiGe,heusler,6,passed,,65,-4453.4231,-68.514202,56.1
Co2NiGa,heusler,5,passed,,40,-2766.5973,-69.164932,103.2
Co2MoIn,heusler,6,passed,,59,-3373.2501,-57.173731,870.5
Co2NbBi,heusler,6,passed,,61,-3646.8439,-59.784326,586.6
Co2NiIn,heusler,5,passed,,30,-1688.0704,-56.269013,198.6
Co2NiIn,heusler,6,passed,,59,-4026.1956,-68.240603,200.4
Co2NiSb,heusler,6,passed,,65,-4831.107,-74.324723,62.7
Co2NiSi,heusler,5,passed,,59,-4196.79,-71.132034,71.1
Co2NiSi,heusler,6,passed,,65,-4418.8254,-67.981929,58.9
Co2NiBi,heusler,6,passed,,83,-6129.7166,-73.852007,450.7
Co2MoSi,heusler,6,passed,,65,-3776.74,-58.103692,876.8
Co2NiSb,heusler,5,passed,,49,-3724.3672,-76.007494,220.5
Co2MoBi,heusler,6,failed,timeout,61,,,1200.0
Co2NiGe,heusler,5,passed,,59,-4220.705,-71.537373,484.6
Co2NiSn,heusler,5,passed,,42,-3147.6758,-74.944662,209.9
Co2TaAl,heusler,5,passed,,42,-2280.6126,-54.3003,172.9
Co2TaGa,heusler,6,passed,,59,-3236.8792,-54.862359,51.6
Co2TaGa,heusler,5,passed,,30,-1370.5568,-45.685227,83.9
Co2TaGe,heusler,6,passed,,59,-3402.1656,-57.663824,46.5
Co2TaSb,heusler,5,passed,,27,-1372.217,-50.822852,9.3
Co2TaGe,heusler,5,passed,,36,-1913.2399,-53.145553,60.4
Co2TaIn,heusler,5,passed,,24,-1037.1469,-43.214454,54.3
Co2TaBi,heusler,5,passed,,27,-1397.3016,-51.751911,181.9
Co2TaSn,heusler,5,passed,,27,-1215.4104,-45.0152,8.9
Co2TaSb,heusler,6,passed,,59,-3498.198,-59.291492,50.9
Co2TaSi,heusler,5,passed,,36,-1899.9724,-52.777011,66.6
Co2TaSi,heusler,6,passed,,59,-3371.9303,-57.151361,69.1
Co2TaSn,heusler,6,passed,,59,-3346.6873,-56.723514,61.0
Co2TiBi,heusler,5,passed,,27,-1368.3526,-50.679726,46.7
Co2TiAl,heusler,5,passed,,55,-3051.8869,-55.488853,112.0
Co2NiAl,heusler,6,failed,timeout,83,,,900.0
Co2TiGa,heusler,6,passed,,59,-3159.2132,-53.545986,46.0
Co2TiGa,heusler,5,passed,,36,-1772.8126,-49.244794,104.4
Co2TaIn,heusler,6,passed,,55,-2948.6966,-53.612665,283.4
Co2TaBi,heusler,6,passed,,59,-3522.0726,-59.696146,400.0
Co2NiGa,heusler,6,passed,,70,-4707.4765,-67.249664,848.1
Co2TiAl,heusler,6,passed,,64,-3265.9174,-51.029959,230.9
Co2TiGe,heusler,6,passed,,62,-3397.8512,-54.804052,116.3
Co2TiSb,heusler,6,passed,,59,-3419.4824,-57.957329,65.9
Co2TiIn,heusler,6,passed,,59,-2844.0403,-48.204073,81.7
Co2TiIn,heusler,5,passed,,27,-1651.8027,-61.177878,113.9
Co2TiSn,heusler,5,passed,,32,-1911.9655,-59.748922,49.0
Co2TiSb,heusler,5,passed,,27,-1344.8954,-49.810941,146.8
Co2TiGe,heusler,5,passed,,39,-2085.0609,-53.4631,276.8
Co2TiSn,heusler,6,passed,,64,-3264.194,-51.003031,142.9
Co2TiSi,heusler,5,passed,,38,-2070.3523,-54.482955,254.1
Co2TaAl,heusler,6,passed,,62,-3296.9002,-53.17581,757.8
Co2VGa,heusler,5,passed,,39,-2059.4267,-52.805813,98.7
Co2VBi,heusler,5,passed,,45,-2685.7525,-59.683389,216.3
Co2VGe,heusler,5,passed,,52,-2645.1376,-50.868031,78.5
Co2VGe,heusler,6,passed,,65,-3667.2865,-56.419792,69.3
Co2VGa,heusler,6,passed,,62,-3336.6336,-53.816671,100.9
Co2VAl,heusler,5,passed,,45,-2385.9209,-53.020464,311.1
Co2TiBi,heusler,6,passed,,59,-3444.2176,-58.376569,610.7
Co2VIn,heusler,5,passed,,30,-1332.2103,-44.40701,106.2
Co2VSn,heusler,5,passed,,27,-1214.9003,-44.996307,21.8
Co2VSb,heusler,5,passed,,39,-2235.2544,-57.314215,162.5
Co2VSn,heusler,6,passed,,59,-3370.9971,-57.135544,70.1
Co2VSb,heusler,6,passed,,62,-3630.867,-58.562371,184.6
Co2VSi,heusler,6,passed,,65,-3578.2464,-55.049945,168.6
Co2WBi,heusler,5,passed,,27,-1456.317,-53.937667,107.9
Co2WGa,heusler,5,passed,,27,-1229.0599,-45.520737,16.1
Co2NiSn,heusler,6,failed,timeout,62,,,1200.0
Co2WAl,heusler,6,passed,,65,-3553.5844,-54.670529,173.9
Co2WAl,heusler,5,passed,,48,-2903.1377,-60.482035,190.6
Co2WGa,heusler,6,passed,,59,-3341.6165,-56.637568,48.9
Co2WIn,heusler,5,passed,,27,-1124.6569,-41.653959,11.4
Co2WSb,heusler,5,passed,,36,-2082.3324,-57.842567,89.0
Co2WIn,heusler,6,passed,,59,-3318.8344,-56.251431,94.6
Co2WGe,heusler,6,passed,,65,-3730.7719,-57.396491,119.3
Co2WSb,heusler,6,passed,,59,-3625.9183,-61.456242,59.6
Co2WSn,heusler,5,passed,,27,-1268.0421,-46.964522,9.2
Co2WSn,heusler,6,passed,,59,-3461.8549,-58.675507,55.3
Co2WSi,heusler,6,passed,,65,-3702.6822,-56.964342,140.0
Co2WSi,heusler,5,passed,,51,-3201.9201,-62.782747,180.4
Co2ZrBi,heusler,5,passed,,27,-1364.3975,-50.533241,22.8
Co2ZrAl,heusler,5,passed,,31,-1372.7945,-44.283694,165.8
Co2ZrGa,heusler,5,passed,,3,-172.6829,-57.560967,16.7
Co2ZrGa,heusler,6,passed,,6,-244.3125,-40.71875,56.4
Co2ZrGe,heusler,5,passed,,27,-1228.2107,-45.489285,23.7
Co2WGe,heusler,5,passed,,51,-3214.8847,-63.036955,532.9
Co2TiSi,heusler,6,passed,,67,-3626.6388,-54.128937,1190.2
Co2ZrIn,heusler,5,passed,,27,-1034.992,-38.333037,20.1
Co2VAl,heusler,6,passed,,65,-3397.444,-52.268369,1140.1
Co2ZrSb,heusler,5,passed,,27,-1341.4103,-49.681863,20.7
Co2ZrIn,heusler,6,passed,,59,-3123.0532,-52.933105,43.0
Co2VIn,heusler,6,passed,,59,-3231.3718,-54.769014,921.1
Co2ZrSi,heusler,5,passed,,30,-1439.7489,-47.99163,39.5
Co2VBi,heusler,6,passed,,61,-3659.8023,-59.996759,1124.8
Co2ZrSb,heusler,6,passed,,59,-3416.3543,-57.90431,73.8
Co2ZrSn,heusler,6,passed,,59,-3266.4437,-55.363453,50.1
Co2VSi,heusler,5,passed,,52,-3147.0325,-60.519856,977.2
Co2ZrSn,heusler,5,passed,,27,-1188.8667,-44.0321,162.3
Cr2CoGa,heusler,5,passed,,30,-1074.6737,-35.822457,40.8
Co2ZrBi,heusler,6,passed,,59,-3441.0325,-58.322585,476.1
Cr2CoBi,heusler,6,passed,,58,-2650.6146,-45.700252,235.9
Co2WBi,heusler,6,passed,,59,-3645.4456,-61.787214,1009.1
